Time,Yaw
0.2,-46.07426
0.4,-50.19222
0.6000000000000001,-44.913353
0.8,-30.7202
1.0,-32.563152
1.2000000000000002,-40.827274
1.4000000000000001,-40.465714
1.6,-33.667526
1.8,-18.502687
2.0,-41.71828
2.2,-46.831093
2.4000000000000004,-42.167454
2.6,-44.652065
2.8000000000000003,-46.467518
3.0,-47.92309
3.2,-49.87954
3.4000000000000004,-51.428455
3.6,-51.136047
3.8000000000000003,-54.393738
4.0,-52.7076
4.2,-48.847904
4.4,-51.937336
4.6000000000000005,-41.212658
4.800000000000001,-35.35852
5.0,-35.944313
5.2,-38.68688
5.4,-45.21684
5.6000000000000005,-53.78603
5.800000000000001,-55.160366
6.0,-56.200497
6.2,-57.415623
6.4,-56.246655
6.6000000000000005,-59.06241
6.800000000000001,-57.126545
7.0,-53.374035
7.2,-49.045437
7.4,-49.821537
7.6000000000000005,-45.10645
7.800000000000001,-46.103092
8.0,-44.82862
8.200000000000001,-49.162914
8.4,-47.97535
8.6,-45.313385
8.8,-43.53025
9.0,-44.573162
9.200000000000001,-39.19847
9.4,-42.394817
9.600000000000001,-42.666912
9.8,-42.621693
10.0,-45.895878
10.200000000000001,-43.501823
10.4,-38.972004
10.600000000000001,-39.104267
10.8,-39.33507
11.0,-35.146175
11.200000000000001,-34.16479
11.4,-30.949255
11.600000000000001,-34.86969
11.8,-33.976444
