Time,Yaw
0.2,-39.634396
0.4,-43.636112
0.6000000000000001,-41.36585
0.8,-41.043957
1.0,-19.051477
1.2000000000000002,-38.498432
1.4000000000000001,-43.997925
1.6,-43.280384
1.8,-42.2352
2.0,-20.470148
2.2,-22.377459
2.4000000000000004,-34.28757
2.6,-18.053963
2.8000000000000003,-41.115593
3.0,-37.679157
3.2,-38.546402
3.4000000000000004,-34.095287
3.6,-29.072012
3.8000000000000003,-26.355875
4.0,-13.558436
4.2,-8.611704
4.4,-11.582937
4.6000000000000005,-20.534151
4.800000000000001,-22.84981
5.0,-39.218525
5.2,-37.417248
5.4,-41.13118
5.6000000000000005,-34.245808
5.800000000000001,-29.573372
6.0,-29.426931
6.2,-36.022655
6.4,-40.52342
6.6000000000000005,-41.93885
6.800000000000001,7.192243
7.0,48.695156
7.2,31.073643
7.4,28.175861
7.6000000000000005,-42.989098
7.800000000000001,-39.888386
8.0,-35.319313
8.200000000000001,-24.859936
8.4,3.261162
8.6,42.62496
8.8,47.474377
9.0,50.199345
9.200000000000001,43.24605
9.4,-13.637672
9.600000000000001,-38.073696
9.8,-22.008307
10.0,-34.753548
10.200000000000001,-35.078747
10.4,-38.5013
10.600000000000001,-35.873188
10.8,-35.649487
11.0,-22.18926
11.200000000000001,-23.068632
11.4,-29.768908
11.600000000000001,-21.39284
11.8,13.266862
12.0,-11.09925
12.200000000000001,-29.210588
12.4,-36.24687
12.600000000000001,-27.575104
12.8,-42.184673
13.0,-41.061962
