Time,Yaw
0.2,-15.5085945
0.4,3.0467727
0.6000000000000001,1.4333112
0.8,0.9808372
1.0,4.1228447
1.2000000000000002,4.726173
1.4000000000000001,-1.1147377
1.6,-0.45307156
1.8,-4.617304
2.0,-3.4689589
2.2,-3.9491167
2.4000000000000004,1.6386431
2.6,1.5668348
2.8000000000000003,4.438783
3.0,1.7025226
3.2,3.2985597
3.4000000000000004,2.643672
3.6,1.0476257
3.8000000000000003,-0.7221053
4.0,2.3800807
4.2,-4.622132
4.4,-1.1399657
4.6000000000000005,-6.018992
4.800000000000001,-8.276665
5.0,-2.470506
5.2,-12.398846
5.4,-20.602547
5.6000000000000005,-43.226597
5.800000000000001,-41.310017
6.0,-33.806393
6.2,-32.148064
