Time,Yaw
0.2,-22.149895
0.4,-23.401308
0.6000000000000001,-24.494802
0.8,-24.766348
1.0,-24.996485
1.2000000000000002,-24.87633
1.4000000000000001,-24.304657
1.6,-24.274889
1.8,-36.94259
2.0,-30.16348
2.2,-32.04467
2.4000000000000004,-35.724483
2.6,-27.80121
2.8000000000000003,-21.90367
3.0,-28.004562
3.2,29.046644
3.4000000000000004,37.72652
3.6,35.611225
3.8000000000000003,33.944767
4.0,-17.551815
4.2,-32.152256
4.4,-33.3654
4.6000000000000005,-36.15797
4.800000000000001,-36.50573
5.0,-30.35959
5.2,-29.235329
5.4,-22.994583
5.6000000000000005,5.257295
5.800000000000001,44.314487
6.0,40.062973
6.2,29.226763
6.4,-22.617603
6.6000000000000005,-23.783236
6.800000000000001,-25.269075
7.0,-26.099443
7.2,-25.725424
7.4,-23.40471
7.6000000000000005,-23.281487
