Time,Yaw
0.2,3.7221868
0.4,2.8080761
0.6000000000000001,3.7146788
0.8,4.4695244
1.0,4.787324
1.2000000000000002,4.41268
1.4000000000000001,5.132134
1.6,4.010069
1.8,5.9536877
2.0,5.5792556
2.2,6.596994
2.4000000000000004,15.035405
2.6,33.544895
2.8000000000000003,-34.394283
3.0,-41.50832
3.2,-45.653824
3.4000000000000004,-41.140377
3.6,-43.15694
3.8000000000000003,-45.830296
4.0,-46.54405
4.2,12.518097
4.4,17.421482
4.6000000000000005,12.683526
4.800000000000001,10.241714
5.0,-14.650136
5.2,-45.802998
5.4,-28.937279
5.6000000000000005,-6.806907
5.800000000000001,-17.049961
6.0,-20.874714
6.2,-28.87197
6.4,-7.4599237
6.6000000000000005,-16.095488
6.800000000000001,-17.108606
7.0,-7.2004714
7.2,-26.483437
7.4,4.490043
7.6000000000000005,-40.894833
7.800000000000001,-16.169878
8.0,-1.5273752
8.200000000000001,9.271409
8.4,8.574265
8.6,9.216369
8.8,8.466447
9.0,9.576369
9.200000000000001,11.098195
