Time,Yaw
0.2,-27.64966
0.4,-25.99839
0.6000000000000001,-35.140575
0.8,-60.74948
1.0,-57.348568
1.2000000000000002,-55.91738
1.4000000000000001,-18.384596
1.6,-21.87343
1.8,-26.047346
2.0,-39.50855
2.2,-43.315296
2.4000000000000004,-44.51659
2.6,-43.54936
2.8000000000000003,-31.421831
3.0,-29.72423
3.2,-45.050724
3.4000000000000004,-53.8949
3.6,-41.845737
3.8000000000000003,-35.5957
4.0,-34.45713
4.2,-38.214935
4.4,-9.950063
4.6000000000000005,-15.5655985
4.800000000000001,-24.557875
5.0,-35.39645
5.2,-40.719505
5.4,-39.75506
5.6000000000000005,-38.054516
5.800000000000001,-37.818943
6.0,-54.604687
6.2,-61.459545
6.4,-53.940315
