Time,Yaw
0.2,-25.55716
0.4,-24.69687
0.6000000000000001,-26.073324
0.8,-24.700777
1.0,-26.233255
1.2000000000000002,-25.821405
1.4000000000000001,-25.024397
1.6,-24.927134
1.8,-24.447557
2.0,-26.35942
2.2,-24.27437
2.4000000000000004,-25.108793
2.6,-25.700039
2.8000000000000003,-24.529406
3.0,-23.85358
3.2,-26.624857
3.4000000000000004,-26.302124
3.6,-24.891031
3.8000000000000003,-24.793768
4.0,-25.65854
4.2,-26.191854
4.4,-26.720705
4.6000000000000005,-26.370457
4.800000000000001,-26.19176
5.0,-26.615423
5.2,-26.315235
5.4,-26.103552
5.6000000000000005,-24.277777
5.800000000000001,-25.333649
6.0,-25.14659
6.2,-24.775734
6.4,-25.222212
6.6000000000000005,-25.486393
6.800000000000001,-24.093224
7.0,-24.144243
7.2,-25.247757
7.4,-24.594427
7.6000000000000005,-25.322412
7.800000000000001,-26.157457
8.0,-25.642015
8.200000000000001,-25.030493
8.4,-24.484873
8.6,-25.290712
8.8,-25.166079
9.0,-25.922834
9.200000000000001,-30.075312
9.4,-39.607147
