Time,Yaw
0.2,-26.182173
0.4,-26.51452
0.6000000000000001,-28.416502
0.8,-52.39935
1.0,-44.926594
1.2000000000000002,-13.889705
1.4000000000000001,-16.939672
1.6,-14.012704
1.8,-8.759404
2.0,-39.519466
2.2,22.746056
2.4000000000000004,70.98848
2.6,64.0084
2.8000000000000003,43.588734
3.0,45.262554
3.2,50.401455
3.4000000000000004,59.28454
3.6,31.382504
3.8000000000000003,-15.911799
4.0,-26.577261
4.2,-38.74161
4.4,-52.86844
4.6000000000000005,-33.195786
4.800000000000001,-28.609339
5.0,-38.36963
5.2,-23.55005
5.4,49.279057
5.6000000000000005,70.9672
5.800000000000001,60.706234
6.0,-2.3818843
6.2,-16.921713
6.4,-17.269535
6.6000000000000005,-17.80889
6.800000000000001,-16.70268
