Time,Yaw
0.2,10.4830475
0.4,9.951095
0.6000000000000001,8.691115
0.8,10.168349
1.0,9.939688
1.2000000000000002,9.051548
1.4000000000000001,9.859184
1.6,9.292539
1.8,8.965128
2.0,9.557614
2.2,7.9550653
2.4000000000000004,9.982912
2.6,9.822134
2.8000000000000003,10.088485
3.0,10.544322
3.2,10.435049
3.4000000000000004,11.320661
3.6,11.214978
3.8000000000000003,9.959753
4.0,9.923194
4.2,8.8323145
4.4,8.251923
4.6000000000000005,10.334742
4.800000000000001,9.379945
5.0,10.90507
5.2,10.785125
5.4,10.523093
5.6000000000000005,9.702905
5.800000000000001,9.689621
6.0,10.146796
6.2,10.790054
6.4,10.423041
6.6000000000000005,10.715675
6.800000000000001,9.556847
7.0,10.10072
7.2,9.302014
7.4,10.28074
7.6000000000000005,8.666421
7.800000000000001,10.338382
8.0,10.421233
8.200000000000001,9.917005
8.4,10.739869
8.6,10.306089
8.8,10.465744
9.0,11.703557
9.200000000000001,11.670152
9.4,11.534392
9.600000000000001,11.3072815
9.8,10.148425
10.0,9.62207
